source,target,hash,block,timestamp,value_wei,value_eth,gas,gas_price,type
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0xbed6c42e6cd0df422e521731077c148a1544f1f8c6642083d01fee2cadcfa5d7,7403560,1553055972,709000000000000,0.000709,21000,1000000000,transfer
0x2eac37d04bf4ef76252d94e08b0f85a31cb0ec7f,0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x0f5124d92cfb7d731396156f2b2e1e50d532a70bd68ca411f860f88636a00042,10917260,1600843076,250000000000000000,0.25,21000,93000000000,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x74cb7c6571632a54ebdacd38fa7c040831efa6dc,0x6fe121a856ccb9eb9669cb273e6e0b95788dd3f3d63e54d00339f13ca039a628,10917317,1600843822,246041000000000000,0.246041,21000,129000000000,transfer
0x4102a799b5b87db21f7707e2cc2789330254397f,0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x9aacfa8f9416af3452331ab03270540f2ed109a88fa1ecf8fd80ccd4f1ec64a0,11281392,1605695365,1247100000000000000,1.2471,100000,37000000000,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0xec590f69d0cbe1d5d9512c484940232d601e7860,0x0ad04bad33ccd05f55494cc225444b3d78a17cb968c60eb3af6af377746cebdd,11281431,1605695892,1195688000000000000,1.195688,21000,72000000000,transfer
0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0xf86af429b06a14e5ada371bb7db0dc8025ecd8f8bd42577115a30511dbc136d7,11382902,1607041453,49110000000000000,0.04911,40000,66000000000,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0xf0f43dc0952be6933cb998d1e641669e309eba45,0xddfd34f23b67ca6642ba73ca2d16b57d6d418ed3a1b58501788e80b97345c441,11382944,1607042155,47820500000000000,0.0478205,21000,49500000000,transfer
0xd551234ae421e3bcba99a0da6d736074f22192ff,0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x52a4561c9d8fc2ca439a07c1346bf48fcd545157ca133c5b67709e65f5628e93,11756943,1612005290,622800000000000000,0.6228,21000,120000000000,exchange_transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0xec590f69d0cbe1d5d9512c484940232d601e7860,0x1ae67f83c4ae5ebb6917e5d2d60cf13b9d03d58d46431bfa6aee50d34b24d68a,11757008,1612006304,595327500000000000,0.5953275,21000,112500000000,transfer
0x1b6fe3ad01c851fdcebb5aa39fa8aac2b1a5cb8a,0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x09c704c368ce93f4b10f01fd0f8bd2634c9125df75d2a43ae0a10398703382c0,11849542,1613235884,8220000000000000,0.00822,21000,200000000000,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x395692717359a07b8030cef9aa2743b56356fa31,0xb665e9c642039de38059f58e8b5b9ab4b06b1a97c05890fefac534a82c2ab788,11849605,1613236690,3709600000000000,0.0037096,21000,212400000000,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0xbc8b5151755b360b0b4e5ee39eac572098f86655815514fcbf2cd395b69d37a6,12006363,1615320262,73943350000000000,0.07394335,21000,128412000000,transfer
0xa7ce3f241d5ee9ff2ac884afce360148d8e1c539,0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0xb0a767877645080c51fa3bcb69686c9b8f026c1354158aac62b6e06288da44cf,12051332,1615919972,36550000000000000,0.03655,21000,217000000000,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x292f6fb5db3a940bcb3f05c9ca66f60996187f7d,0x9605fef6c29aa9b51d91dd0981b30c5cc2d4dac7750982beb59f026e74d4130e,12051382,1615920634,32086000000000000,0.032086,21000,204000000000,transfer
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0xd218eadf39c2cd0d5235c24eadd7da67057fd760b412d356356b7cbf9d20c466,12867762,1626842979,14330000000000000,0.01433,207128,30000000000,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x80759ec58f334053b60e901a09e330d0296d0367,0x2bcf9a920b423643b6b6f2778f087f44d6efacd3b6fb752c3b95d502caa1d064,12867799,1626843491,13315000000000000,0.013315,21000,45000000000,transfer
0x53d49f64ffd308f839d358bef00b179059442d3d,0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0xe38a0a90aab0a3060c23ab09966fefea2b477cdcfd4601e0e63c17575a0f8aa3,13884942,1640576917,40360000000000000,0.04036,21000,72744040134,transfer
